[0 1 2 3 ]
[4 7 6 5 ]
[8 10 11 9 ]
[12 14 15 13 ]
[16 17 18 19 ]
[20 23 22 21 ]
[24 25 26 28 27 29 ]
[30 32 33 34 35 31 ]
[36 37 38 41 40 39 ]
[42 43 44 46 45 47 ]
[48 50 53 52 51 49 ]
[54 55 56 58 57 59 ]
[60 61 62 65 64 63 ]
[66 68 71 70 69 67 ]
[72 74 75 76 77 73 ]
[78 83 82 81 80 79 ]
[84 85 86 88 87 89 ]
[90 95 94 93 92 91 ]
[90 91 97 37 36 96 ]
[36 39 98 7 4 96 ]
[90 96 4 5 99 95 ]
[72 73 100 38 37 97 ]
[72 97 91 92 101 74 ]
[73 77 102 17 16 100 ]
[16 19 103 41 38 100 ]
[0 3 104 75 74 101 ]
[0 101 92 93 105 1 ]
[93 94 106 85 84 105 ]
[84 89 107 2 1 105 ]
[66 67 108 86 85 106 ]
[66 106 94 95 99 68 ]
[67 69 109 10 8 108 ]
[8 9 110 88 86 108 ]
[5 6 111 71 68 99 ]
[78 79 113 61 60 112 ]
[60 63 114 14 12 112 ]
[78 112 12 13 115 83 ]
[87 88 110 62 61 113 ]
[87 113 79 80 107 89 ]
[9 11 116 65 62 110 ]
[2 107 80 81 104 3 ]
[81 82 117 76 75 104 ]
[48 49 102 77 76 117 ]
[48 117 82 83 115 50 ]
[49 51 118 18 17 102 ]
[13 15 119 53 50 115 ]
[69 70 120 55 54 109 ]
[54 59 116 11 10 109 ]
[30 31 121 56 55 120 ]
[30 120 70 71 111 32 ]
[31 35 122 23 20 121 ]
[20 21 123 58 56 121 ]
[6 7 98 33 32 111 ]
[63 64 124 43 42 114 ]
[42 47 119 15 14 114 ]
[57 58 123 44 43 124 ]
[57 124 64 65 116 59 ]
[21 22 125 46 44 123 ]
[51 52 126 25 24 118 ]
[24 29 103 19 18 118 ]
[45 46 125 26 25 126 ]
[45 126 52 53 119 47 ]
[22 23 122 28 26 125 ]
[39 40 127 34 33 98 ]
[27 28 122 35 34 127 ]
[27 127 40 41 103 29 ]
