100 1 200 5 300 18 400 2 500 4 600 4
700 5 800 6 900 8 1000 10 1100 13 1200 14 1300 20 1400 19
1500 21 1600 22 1700 25 1800 29 1900 32 2000 34 2100 38 2200 42
2300 46 2400 50 2500 57 2600 57 2700 62 2800 67 2900 72 3000 76
3100 81 3200 91 3300 94 3400 98 3500 103 3600 110 3700 120
3800 122 3900 128 4000 134 4100 146 4200 150 4300 158 4400 167
4500 170 4600 180 4700 192 4800 193 4900 206 5000 209 5100 218
5200 232 5300 235 5400 249 5500 265 5600 296 5700 285 5800 283
5900 335 6000 310 6100 493 6200 338 6300 359 6400 358 6500 385
6600 593 6700 386 6800 409 6900 421 7000 627 7100 591 7200 435
7300 449 7400 457 7500 473 7600 482 7700 498 7800 508 7900 524
8000 535 8100 547 8200 559 8300 578 8400 592 8500 605 8600 617
8700 630 8800 650 8900 661 9000 672 9100 694 9200 703 9300 722
9400 733 9500 752 9600 772 9700 784 9800 799 9900 819 10000 831
